threegram,fourgram,frequency
bir şey var,bir şey var mı,41773
şey var mı,bir şey var mı,41773
bir sorun mu,bir sorun mu var,21423
sorun mu var,bir sorun mu var,21423
de seni seviyorum,ben de seni seviyorum,17338
ben de seni,ben de seni seviyorum,17338
da ne demek,bu da ne demek,16884
bu da ne,bu da ne demek,16884
gereken bir şey,gereken bir şey var,15683
bir şey var,gereken bir şey var,15683
son ne zaman,en son ne zaman,15141
en son ne,en son ne zaman,15141
başka bir şey,başka bir şey var,12619
bir şey var,başka bir şey var,12619
bir şey daha,bir şey daha var,12185
şey daha var,bir şey daha var,12185
da ne böyle,bu da ne böyle,12110
bu da ne,bu da ne böyle,12110
hayır hayır hayır,hayır hayır hayır hayır,11959
şey mi var,bir şey mi var,11834
bir şey mi,bir şey mi var,11834
o kadar da,o kadar da kötü,10198
kadar da kötü,o kadar da kötü,10198
bir şey mi,bir şey mi oldu,9845
şey mi oldu,bir şey mi oldu,9845
ne var ne,ne var ne yok,9276
var ne yok,ne var ne yok,9276
ne var biliyor,ne var biliyor musun,8447
var biliyor musun,ne var biliyor musun,8447
ne olduğunu biliyor,ne olduğunu biliyor musun,7923
olduğunu biliyor musun,ne olduğunu biliyor musun,7923
ne demek oluyor,da ne demek oluyor,6726
da ne demek,da ne demek oluyor,6726
bir şey değil,önemli bir şey değil,6650
önemli bir şey,önemli bir şey değil,6650
bir şey yok,diye bir şey yok,6532
diye bir şey,diye bir şey yok,6532
başka bir şey,başka bir şey yok,5895
bir şey yok,başka bir şey yok,5895
iyi bir şey,bu iyi bir şey,5753
bu iyi bir,bu iyi bir şey,5753
ne işi var,burada ne işi var,5689
burada ne işi,burada ne işi var,5689
öyle değil mi,de öyle değil mi,5379
de öyle değil,de öyle değil mi,5379
neden böyle bir,neden böyle bir şey,5310
böyle bir şey,neden böyle bir şey,5310
ne demek oluyor,bu ne demek oluyor,5151
bu ne demek,bu ne demek oluyor,5151
bir şey değil,bir şey değil mi,5080
şey değil mi,bir şey değil mi,5080
olduğunu biliyor musun,nerede olduğunu biliyor musun,5037
nerede olduğunu biliyor,nerede olduğunu biliyor musun,5037
çok güzel değil,çok güzel değil mi,5026
güzel değil mi,çok güzel değil mi,5026
bir şey yok,bir şey yok mu,5016
şey yok mu,bir şey yok mu,5016
bir şey ister,bir şey ister misin,4923
şey ister misin,bir şey ister misin,4923
sen ve ben,sadece sen ve ben,4868
sadece sen ve,sadece sen ve ben,4868
gibi bir şey,onun gibi bir şey,4780
onun gibi bir,onun gibi bir şey,4780
kadar da kötü,kadar da kötü değil,4742
da kötü değil,kadar da kötü değil,4742
için bir şey,benim için bir şey,4714
benim için bir,benim için bir şey,4714
önce hiç böyle,daha önce hiç böyle,4183
daha önce hiç,daha önce hiç böyle,4183
bir şey değil,başka bir şey değil,4179
başka bir şey,başka bir şey değil,4179
görmek çok güzel,seni görmek çok güzel,4175
seni görmek çok,seni görmek çok güzel,4175
böyle bir şey,hiç böyle bir şey,4098
hiç böyle bir,hiç böyle bir şey,4098
görmek ne güzel,seni görmek ne güzel,4052
seni görmek ne,seni görmek ne güzel,4052
bir şey mi,yanlış bir şey mi,3948
yanlış bir şey,yanlış bir şey mi,3948
bir şey söyledi,bir şey söyledi mi,3902
şey söyledi mi,bir şey söyledi mi,3902
hiç iyi değil,bu hiç iyi değil,3832
bu hiç iyi,bu hiç iyi değil,3832
bunu daha önce,bunu daha önce de,3803
daha önce de,bunu daha önce de,3803
için çok teşekkür,için çok teşekkür ederim,3598
çok teşekkür ederim,için çok teşekkür ederim,3598
kim olduğunu biliyor,kim olduğunu biliyor musun,3552
olduğunu biliyor musun,kim olduğunu biliyor musun,3552
bir şey olduğunu,nasıl bir şey olduğunu,3521
nasıl bir şey,nasıl bir şey olduğunu,3521
ya da böyle,öyle ya da böyle,3468
öyle ya da,öyle ya da böyle,3468
bu kadar uzun,neden bu kadar uzun,3385
neden bu kadar,neden bu kadar uzun,3385
bir tane daha,bir tane daha var,3315
tane daha var,bir tane daha var,3315
daha önce böyle,daha önce böyle bir,3272
önce böyle bir,daha önce böyle bir,3272
da başka bir,ya da başka bir,3261
ya da başka,ya da başka bir,3261
biliyorsun değil mi,olduğunu biliyorsun değil mi,3258
olduğunu biliyorsun değil,olduğunu biliyorsun değil mi,3258
bir şey yok,hiç bir şey yok,3181
hiç bir şey,hiç bir şey yok,3181
bir şey yok,öyle bir şey yok,3165
öyle bir şey,öyle bir şey yok,3165
yer var mı,bir yer var mı,3157
bir yer var,bir yer var mı,3157
uzun zaman oldu,çok uzun zaman oldu,3119
çok uzun zaman,çok uzun zaman oldu,3119
hepsi bu kadar,hepsi bu kadar mı,3119
bu kadar mı,hepsi bu kadar mı,3119
mi hayır mı,evet mi hayır mı,3110
evet mi hayır,evet mi hayır mı,3110
benim için çok,benim için çok önemli,3102
için çok önemli,benim için çok önemli,3102
biliyorsun değil mi,bunu biliyorsun değil mi,3077
bunu biliyorsun değil,bunu biliyorsun değil mi,3077
zaman ben de,o zaman ben de,3036
o zaman ben,o zaman ben de,3036
bir şey daha,başka bir şey daha,3025
başka bir şey,başka bir şey daha,3025
pek bir şey,pek bir şey yok,2928
bir şey yok,pek bir şey yok,2928
şey için teşekkürler,her şey için teşekkürler,2889
her şey için,her şey için teşekkürler,2889
ben de aynı,ben de aynı şeyi,2749
de aynı şeyi,ben de aynı şeyi,2749
şeyler var mı,bir şeyler var mı,2726
bir şeyler var,bir şeyler var mı,2726
ne kadar güzel,ne kadar güzel bir,2667
kadar güzel bir,ne kadar güzel bir,2667
sen de biliyorsun,bunu sen de biliyorsun,2664
bunu sen de,bunu sen de biliyorsun,2664
ne demek şimdi,da ne demek şimdi,2659
da ne demek,da ne demek şimdi,2659
bunun ne olduğunu,bunun ne olduğunu biliyor,2656
ne olduğunu biliyor,bunun ne olduğunu biliyor,2656
nasıl bu kadar,nasıl bu kadar emin,2642
bu kadar emin,nasıl bu kadar emin,2642
demek biliyor musun,ne demek biliyor musun,2599
ne demek biliyor,ne demek biliyor musun,2599
bir şey mi,kötü bir şey mi,2580
kötü bir şey,kötü bir şey mi,2580
evet ben de,evet ben de öyle,2565
ben de öyle,evet ben de öyle,2565
sana yardım etmek,sana yardım etmek istiyorum,2537
yardım etmek istiyorum,sana yardım etmek istiyorum,2537
olur ne olmaz,ne olur ne olmaz,2497
ne olur ne,ne olur ne olmaz,2497
her şey iyi,her şey iyi olacak,2479
şey iyi olacak,her şey iyi olacak,2479
bir şey değil,öyle bir şey değil,2478
öyle bir şey,öyle bir şey değil,2478
ne demek olduğunu,bunun ne demek olduğunu,2458
bunun ne demek,bunun ne demek olduğunu,2458
ne demek oluyor,ne demek oluyor bu,2431
demek oluyor bu,ne demek oluyor bu,2431
kadar zor olduğunu,ne kadar zor olduğunu,2414
ne kadar zor,ne kadar zor olduğunu,2414
ne kadar önemli,ne kadar önemli olduğunu,2406
kadar önemli olduğunu,ne kadar önemli olduğunu,2406
bu kadar çok,neden bu kadar çok,2394
neden bu kadar,neden bu kadar çok,2394
iyi değil mi,daha iyi değil mi,2362
daha iyi değil,daha iyi değil mi,2362
tek bir şey,tek bir şey var,2360
bir şey var,tek bir şey var,2360
çok kötü bir,çok kötü bir şey,2350
kötü bir şey,çok kötü bir şey,2350
çok önemli bir,çok önemli bir şey,2348
önemli bir şey,çok önemli bir şey,2348
çok büyük bir,bu çok büyük bir,2342
bu çok büyük,bu çok büyük bir,2342
bir şey biliyor,bir şey biliyor musun,2329
şey biliyor musun,bir şey biliyor musun,2329
ya da iki,bir ya da iki,2326
bir ya da,bir ya da iki,2326
ya da hayır,evet ya da hayır,2315
evet ya da,evet ya da hayır,2315
senin için bir,senin için bir şey,2303
için bir şey,senin için bir şey,2303
de ister misin,sen de ister misin,2296
çok güzel bir,bu çok güzel bir,2288
bu çok güzel,bu çok güzel bir,2288
önemli olan da,önemli olan da bu,2278
olan da bu,önemli olan da bu,2278
o kadar kötü,o kadar kötü değil,2270
kadar kötü değil,o kadar kötü değil,2270
benim için çok,bu benim için çok,2256
bu benim için,bu benim için çok,2256
daha önce hiç,bunu daha önce hiç,2226
bunu daha önce,bunu daha önce hiç,2226
gibi bir şey,gibi bir şey mi,2213
bir şey mi,gibi bir şey mi,2213
bir şey oldu,bir şey oldu mu,2204
böyle bir şey,önce böyle bir şey,2199
önce böyle bir,önce böyle bir şey,2199
öyle bir şey,yok öyle bir şey,2191
çok uzun zaman,çok uzun zaman önce,2176
uzun zaman önce,çok uzun zaman önce,2176
o da ne,o da ne demek,2171
da ne demek,o da ne demek,2171
olan bir şey,olan bir şey var,2134
bir şey var,olan bir şey var,2134
hey hey hey,hey hey hey hey,2117
önce hiç böyle,önce hiç böyle bir,2102
hiç böyle bir,önce hiç böyle bir,2102
bir şey değil,iyi bir şey değil,2101
iyi bir şey,iyi bir şey değil,2101
için her şeyi,senin için her şeyi,2087
senin için her,senin için her şeyi,2087
çok özür dilerim,için çok özür dilerim,2080
bu harika bir,bu harika bir şey,2069
harika bir şey,bu harika bir şey,2069
bir şey ister,bir şey ister misiniz,2048
daha iyi bir,daha iyi bir yer,2043
iyi bir yer,daha iyi bir yer,2043
o kadar da,o kadar da zor,2038
o kadar da,o kadar da değil,2026
kadar da değil,o kadar da değil,2026
çok iyi bir,bu çok iyi bir,1963
bu çok iyi,bu çok iyi bir,1963
onu en son,onu en son ne,1949
en son ne,onu en son ne,1949
güzel değil mi,ne güzel değil mi,1943
hayır bu doğru,hayır bu doğru değil,1940
bu doğru değil,hayır bu doğru değil,1940
hakkında hiçbir şey,hakkında hiçbir şey bilmiyorum,1927
hiçbir şey bilmiyorum,hakkında hiçbir şey bilmiyorum,1927
olmaz değil mi,sorun olmaz değil mi,1923
öyle bir şey,hayır öyle bir şey,1901
çok şey var,gereken çok şey var,1900
kimse var mı,orada kimse var mı,1879
sana ne oldu,sana ne oldu böyle,1863
ne oldu böyle,sana ne oldu böyle,1863
sana yardım etmek,sana yardım etmek için,1846
yardım etmek için,sana yardım etmek için,1846
ben de öyle,ben de öyle dedim,1842
daha iyi bir,daha iyi bir şey,1824
iyi bir şey,daha iyi bir şey,1824
olan tek şey,önemli olan tek şey,1819
ne demek şimdi,bu ne demek şimdi,1818
bu ne demek,bu ne demek şimdi,1818
için sorun değil,benim için sorun değil,1813
benim için sorun,benim için sorun değil,1813
öyle bir şey,ben öyle bir şey,1807
ne demek biliyor,bu ne demek biliyor,1785
bu ne demek,bu ne demek biliyor,1785
hiçbir şey yok,burada hiçbir şey yok,1773
burada hiçbir şey,burada hiçbir şey yok,1773
ne biliyor musun,olan ne biliyor musun,1772
da başka bir,da başka bir şey,1762
ne kadar zor,ne kadar zor olabilir,1762
başka bir şey,da başka bir şey,1762
bir daha görmek,bir daha görmek istemiyorum,1730
yok değil mi,sorun yok değil mi,1723
böyle bir şey,asla böyle bir şey,1714
bir zaman değil,iyi bir zaman değil,1710
iyi bir zaman,iyi bir zaman değil,1710
bana yardım et,lütfen bana yardım et,1703
lütfen bana yardım,lütfen bana yardım et,1703
son bir şey,son bir şey daha,1698
bir şey daha,son bir şey daha,1698
hiç de değil,hayır hiç de değil,1687
hayır hiç de,hayır hiç de değil,1687
fazla bir şey,fazla bir şey yok,1677
bir şey yok,fazla bir şey yok,1677
şimdi ne olacak,peki şimdi ne olacak,1676
peki şimdi ne,peki şimdi ne olacak,1676
demek oluyor ki,bu demek oluyor ki,1672
ne oldu sana,ne oldu sana böyle,1649
için ne kadar,senin için ne kadar,1648
senin için ne,senin için ne kadar,1648
daha önce hiç,daha önce hiç bu,1644
doğru değil mi,bu doğru değil mi,1635
bu doğru değil,bu doğru değil mi,1635
çok güzel bir,çok güzel bir kız,1618
güzel bir kız,çok güzel bir kız,1618
görmek ne güzel,sizi görmek ne güzel,1587
için çok geç,bunun için çok geç,1578
bunun için çok,bunun için çok geç,1578
hiç hoş değil,bu hiç hoş değil,1578
bir iş var,gereken bir iş var,1573
o kadar da,o kadar da iyi,1556
burada ne işi,onun burada ne işi,1553
burada bir şey,burada bir şey yok,1546
bir şey yok,burada bir şey yok,1546
çok kötü bir,bu çok kötü bir,1538
bu çok kötü,bu çok kötü bir,1538
bunun gibi bir,bunun gibi bir şey,1536
için bir neden,için bir neden yok,1536
gibi bir şey,bunun gibi bir şey,1536
bu kadar önemli,neden bu kadar önemli,1525
neden bu kadar,neden bu kadar önemli,1525
benim için büyük,benim için büyük bir,1522
için büyük bir,benim için büyük bir,1522
o kadar çok,o kadar çok şey,1519
kadar çok şey,o kadar çok şey,1519
onu daha önce,onu daha önce hiç,1512
daha önce hiç,onu daha önce hiç,1512
seni tekrar görmek,seni tekrar görmek güzel,1508
ya da öyle,ya da öyle bir,1507
ne kadar da,ne kadar da güzel,1500
demek oluyor ki,da demek oluyor ki,1499
ne zaman oldu,bu ne zaman oldu,1497
bu ne zaman,bu ne zaman oldu,1497
ne kadar önemli,için ne kadar önemli,1496
için ne kadar,için ne kadar önemli,1496
bir şey mi,başka bir şey mi,1491
başka bir şey,başka bir şey mi,1491
güzel bir şey,çok güzel bir şey,1485
çok güzel bir,çok güzel bir şey,1485
hiç gerek yok,buna hiç gerek yok,1484
her şey hazır,her şey hazır mı,1481
de senin gibi,ben de senin gibi,1476
ben de senin,ben de senin gibi,1476
ne demek şimdi,ne demek şimdi bu,1468
her şey için,her şey için teşekkür,1445
güzel bir yer,çok güzel bir yer,1436
çok güzel bir,çok güzel bir yer,1436
dur dur dur,dur dur dur dur,1435
o kadar kötü,o kadar kötü mü,1432
çok daha iyi,çok daha iyi bir,1428
daha iyi bir,çok daha iyi bir,1428
bana bir dakika,bana bir dakika ver,1426
ne işi var,ne işi var burada,1424
her şey çok,her şey çok güzel,1421
ha ha ha,ha ha ha ha,1419
önemli bir şey,önemli bir şey var,1417
bir şey var,önemli bir şey var,1417
bu da ne,bu da ne şimdi,1408
bir şey olmaz,bana bir şey olmaz,1397
bana bir şey,bana bir şey olmaz,1397
ne zaman oldu,ne zaman oldu bu,1382
benim en iyi,sen benim en iyi,1380
için özür dilerim,bunun için özür dilerim,1377
bir daha görmek,seni bir daha görmek,1365
seni bir daha,seni bir daha görmek,1365
biri var mı,başka biri var mı,1364
o kadar da,ama o kadar da,1357
ama o kadar,ama o kadar da,1357
bu kadar iyi,hiç bu kadar iyi,1354
hiç bu kadar,hiç bu kadar iyi,1354
başka şeyler de,başka şeyler de var,1353
öyle değil mi,değil öyle değil mi,1349
ben de bu,ben de bu yüzden,1349
de bu yüzden,ben de bu yüzden,1349
etmek ister misin,yardım etmek ister misin,1342
de çok iyi,hem de çok iyi,1341
hem de çok,hem de çok iyi,1341
şey de ne,bu şey de ne,1336
kimse var mı,başka kimse var mı,1326
hiç bu kadar,önce hiç bu kadar,1322
benim için ne,benim için ne kadar,1310
için ne kadar,benim için ne kadar,1310
sen burada ne,sen burada ne yapıyorsun,1306
burada ne yapıyorsun,sen burada ne yapıyorsun,1306
artık çok geç,için artık çok geç,1305
güzel bir gün,çok güzel bir gün,1300
çok güzel bir,çok güzel bir gün,1300
böyle bir şeyi,böyle bir şeyi nasıl,1295
bir tane daha,bir tane daha mı,1294
bir şey değil,kötü bir şey değil,1287
kötü bir şey,kötü bir şey değil,1287
başka bir şey,başka bir şey ister,1285
bir şey ister,başka bir şey ister,1285
bir daha böyle,bir daha böyle bir,1281
iyi bir iş,çok iyi bir iş,1280
çok iyi bir,çok iyi bir iş,1280
ne demek olduğunu,ne demek olduğunu biliyor,1277
burada bir şey,burada bir şey var,1276
bir şey var,burada bir şey var,1276
hiçbir şey yok,hiçbir şey yok mu,1265
gerçek şu ki,ama gerçek şu ki,1265
şey yok mu,hiçbir şey yok mu,1265
daha iyi bir,için daha iyi bir,1263
de bu yüzden,belki de bu yüzden,1263
için daha iyi,için daha iyi bir,1263
belki de bu,belki de bu yüzden,1263
bir kez daha,son bir kez daha,1257
son bir kez,son bir kez daha,1257
o zaman sen,o zaman sen de,1253
hakkında bir şey,hakkında bir şey biliyor,1247
bir şey biliyor,hakkında bir şey biliyor,1247
bir tane daha,başka bir tane daha,1240
başka bir tane,başka bir tane daha,1240
öyle bir şey,da öyle bir şey,1237
ilgili bir şey,ile ilgili bir şey,1226
ile ilgili bir,ile ilgili bir şey,1226
böyle bir şey,niye böyle bir şey,1216
iyi bir zaman,için iyi bir zaman,1212
için iyi bir,için iyi bir zaman,1212
ne güzel bir,ne güzel bir gün,1211
güzel bir gün,ne güzel bir gün,1211
lütfen bana yardım,lütfen bana yardım edin,1210
bana yardım edin,lütfen bana yardım edin,1210
ama bu doğru,ama bu doğru değil,1207
bu doğru değil,ama bu doğru değil,1207
olduğunu bilmiyorum ama,ne olduğunu bilmiyorum ama,1206
ne olduğunu bilmiyorum,ne olduğunu bilmiyorum ama,1206
o kadar emin,o kadar emin değilim,1196
bunu sana kim,bunu sana kim söyledi,1191
için teşekkür ederim,şey için teşekkür ederim,1191
bu çok önemli,bu çok önemli bir,1189
o zaman ne,o zaman ne olacak,1189
biri mi var,orada biri mi var,1189
çok önemli bir,bu çok önemli bir,1189
beni iyi dinle,şimdi beni iyi dinle,1166
az önce ne,az önce ne oldu,1162
ne kadar güzel,ne kadar güzel olduğunu,1156
benim için sorun,benim için sorun yok,1153
iyi bir yer,için iyi bir yer,1153
çok iyi bir,sen çok iyi bir,1153
için iyi bir,için iyi bir yer,1153
için özür dilerim,için özür dilerim ama,1152
özür dilerim ama,için özür dilerim ama,1152
bu kötü bir,bu kötü bir şey,1151
evet evet evet,evet evet evet evet,1151
kötü bir şey,bu kötü bir şey,1151
bir sorun var,bir sorun var mı,1150
sorun var mı,bir sorun var mı,1150
o iyi bir,o iyi bir çocuk,1146
iyi bir çocuk,o iyi bir çocuk,1146
o sadece bir,o sadece bir çocuk,1145
teşekkür etmek istiyorum,sana teşekkür etmek istiyorum,1142
sana teşekkür etmek,sana teşekkür etmek istiyorum,1142
bu kadar büyük,bu kadar büyük bir,1136
kadar büyük bir,bu kadar büyük bir,1136
her şey için,her şey için çok,1132
önemli bir şey,önemli bir şey yok,1131
bir şey yok,önemli bir şey yok,1131
o da ne,o da ne öyle,1125
hadi hadi hadi,hadi hadi hadi hadi,1124
harika değil mi,bu harika değil mi,1119
bir şey mi,iyi bir şey mi,1118
iyi bir şey,iyi bir şey mi,1118
bir şey yok,bir şey yok ki,1113
ben de senin,ben de senin kadar,1111
başka bir şey,gereken başka bir şey,1110
bir dakika izin,bana bir dakika izin,1109
bana bir dakika,bana bir dakika izin,1109
bu o kadar,bu o kadar da,1108
o kadar da,bu o kadar da,1108
bir şey daha,ve bir şey daha,1106
ve bir şey,ve bir şey daha,1106
benim en iyi,o benim en iyi,1101
ne olabilir ki,başka ne olabilir ki,1100
hiç bu kadar,hiç bu kadar mutlu,1096
o çok iyi,o çok iyi bir,1095
çok iyi bir,o çok iyi bir,1095
biraz zaman ver,bana biraz zaman ver,1094
da bu zaten,sorun da bu zaten,1090
sorun da bu,sorun da bu zaten,1090
tam olarak ne,tam olarak ne olduğunu,1088
daha ister misin,biraz daha ister misin,1084
ne demek bu,ne demek bu şimdi,1083
de senin için,ben de senin için,1078
ben de senin,ben de senin için,1078
da başka bir,bu da başka bir,1074
bir dakika izin,bir dakika izin ver,1070
ne kadar zor,için ne kadar zor,1065
için ne kadar,için ne kadar zor,1065
bir yer değil,bir yer değil mi,1060
ne demek oluyor,ne demek oluyor şimdi,1057
de o kadar,benden de o kadar,1048
o iyi bir,o iyi bir adam,1046
iyi bir adam,o iyi bir adam,1046
bir şey değil,bir şey değil bu,1042
daha önce hiç,daha önce hiç bir,1039
için teşekkür etmek,için teşekkür etmek istiyorum,1036
teşekkür etmek istiyorum,için teşekkür etmek istiyorum,1036
yanlış bir şey,ben yanlış bir şey,1035
neden bu kadar,için neden bu kadar,1034
bir kaç gün,bir kaç gün önce,1034
güzel bir gün,güzel bir gün değil,1034
hoş değil mi,çok hoş değil mi,1029
böyle bir şey,nasıl böyle bir şey,1028
için çok iyi,için çok iyi bir,1023
çok iyi bir,için çok iyi bir,1023
olduğunu biliyor musun,demek olduğunu biliyor musun,1017
bir şey değil,bir şey değil ama,1015
görmek çok güzel,sizi görmek çok güzel,1015
görmek çok güzel,tekrar görmek çok güzel,1014
evet hem de,evet hem de çok,1010
hem de çok,evet hem de çok,1010
benim için çok,benim için çok zor,1009
için çok zor,benim için çok zor,1009
güzel değil mi,kadar güzel değil mi,1007
ben de bir,ben de bir şey,1000
de bir şey,ben de bir şey,1000
o kadar da,o kadar da önemli,998
onun gibi bir,da onun gibi bir,997
benim için bir,bu benim için bir,995
bu benim için,bu benim için bir,995
diye bir şey,biz diye bir şey,991
ne kadar büyük,ne kadar büyük bir,990
kadar büyük bir,ne kadar büyük bir,990
hakkında çok şey,senin hakkında çok şey,987
daha iyi bir,benim daha iyi bir,985
olan tek şey,olan tek şey bu,983
tek şey bu,olan tek şey bu,983
yok değil mi,şey yok değil mi,982
bu yüzden bu,bu yüzden bu kadar,981
bir şey değil,fazla bir şey değil,981
fazla bir şey,fazla bir şey değil,981
için bu kadar,senin için bu kadar,977
çok güzel bir,çok güzel bir kadın,971
güzel bir kadın,çok güzel bir kadın,971
ne kadar güzel,ne kadar güzel değil,970
daha ne kadar,daha ne kadar var,969
ne kadar var,daha ne kadar var,969
böyle bir şey,ben böyle bir şey,969
yemek ister misin,şeyler yemek ister misin,968
sen de benim,sen de benim kadar,968
bunu bir daha,bunu bir daha yapma,965
seni bir daha,seni bir daha asla,964
bir daha asla,seni bir daha asla,964
büyük bir şey,daha büyük bir şey,963
daha büyük bir,daha büyük bir şey,963
bir şey var,orada bir şey var,962
orada bir şey,orada bir şey var,962
kabul ediyor musun,olarak kabul ediyor musun,958
için daha iyi,senin için daha iyi,955
iyi değil mi,çok iyi değil mi,955
senin için daha,senin için daha iyi,955
bu yüzden ben,bu yüzden ben de,954
ne biliyor musun,bu ne biliyor musun,953
bu kadar önemli,bu kadar önemli olan,952
fazla bir şey,daha fazla bir şey,945
hiçbir şey yok,orada hiçbir şey yok,944
böyle bir şey,böyle bir şey yok,943
bir şey yok,böyle bir şey yok,943
de bir tane,ben de bir tane,942
ben de bir,ben de bir tane,942
senin için çok,bu senin için çok,939
başka bir zaman,belki başka bir zaman,939
belki başka bir,belki başka bir zaman,939
bu senin için,bu senin için çok,939
bekle bekle bekle,bekle bekle bekle bekle,937
ama yine de,ama yine de bir,929
yine de bir,ama yine de bir,929
bu iyi bir,bence bu iyi bir,925
bu yeni bir,bu yeni bir şey,924
yeni bir şey,bu yeni bir şey,924
yanlış bir şey,yanlış bir şey yok,921
bir şey yok,yanlış bir şey yok,921
de başka bir,belki de başka bir,917
hayır hiç de,hayır hiç de bile,913
hiç de bile,hayır hiç de bile,913
bir sorun var,ama bir sorun var,910
gibi bir şey,gibi bir şey bu,906
çok şey var,çok şey var ki,906
bir şey bu,gibi bir şey bu,906
daha kötü bir,daha kötü bir şey,903
kötü bir şey,daha kötü bir şey,903
hayır hayır hayır,oh hayır hayır hayır,901
ne demek olduğunu,ne demek olduğunu biliyorum,901
bunu bana neden,bunu bana neden yapıyorsun,900
daha iyi bir,bundan daha iyi bir,898
bundan daha iyi,bundan daha iyi bir,898
diye bir şey,diye bir şey var,897
bir şey var,diye bir şey var,897
bir şey var,yeni bir şey var,895
olduğunu bile bilmiyorum,kim olduğunu bile bilmiyorum,895
yeni bir şey,yeni bir şey var,895
sana bir şey,ama sana bir şey,894
senin için bir,bu senin için bir,893
bu senin için,bu senin için bir,893
sen de benim,sen de benim gibi,885
bir şeyler mi,bir şeyler mi var,882
o kadar da,bir o kadar da,876
senin için çok,senin için çok zor,873
için çok zor,senin için çok zor,873
bu kadar mı,bu kadar mı yani,868
daha büyük bir,çok daha büyük bir,867
da bir şey,bu da bir şey,866
bu da bir,bu da bir şey,866
hayır bir şey,hayır bir şey yok,865
bir şey yok,hayır bir şey yok,865
bu değil mi,da bu değil mi,865
bu kadar çok,bu kadar çok mu,862
tam olarak ne,tam olarak ne demek,860
daha önce hiç,seni daha önce hiç,860
seni daha önce,seni daha önce hiç,860
bir şey yok,bir şey yok değil,859
niye bu kadar,niye bu kadar uzun,856
bu kadar uzun,niye bu kadar uzun,856
için özür dilerim,şey için özür dilerim,854
bir şey değil,gibi bir şey değil,852
gibi bir şey,gibi bir şey değil,852
hiç de iyi,hiç de iyi değil,851
çok ama çok,çok ama çok üzgünüm,850
bir şey daha,gereken bir şey daha,849
olur ne olmaz,olur ne olmaz diye,849
gereken bir şey,gereken bir şey daha,849
bir şeyler var,yanlış bir şeyler var,846
