threegram,fourgram,frequency
bunun için çok,bunun için çok üzgünüm,845
için çok üzgünüm,bunun için çok üzgünüm,845
ne kadar kötü,ne kadar kötü olabilir,844
benim için önemli,benim için önemli olan,843
orada bir şey,orada bir şey yok,842
bir şey yok,orada bir şey yok,842
olduğunu biliyorum ama,zor olduğunu biliyorum ama,841
zor olduğunu biliyorum,zor olduğunu biliyorum ama,841
sana daha önce,sana daha önce de,839
daha önce de,sana daha önce de,839
ne olduğunu bile,ne olduğunu bile bilmiyorum,839
olduğunu bile bilmiyorum,ne olduğunu bile bilmiyorum,839
seni tekrar görmek,seni tekrar görmek çok,838
ne olabilir ki,kötü ne olabilir ki,838
ne kadar iyi,ne kadar iyi olduğunu,837
da ne böyle,bunlar da ne böyle,836
bunlar da ne,bunlar da ne böyle,836
daha önce de,daha önce de gördüm,836
tam olarak ne,tam olarak ne oldu,835
için büyük bir,senin için büyük bir,835
olduğunu biliyor mu,burada olduğunu biliyor mu,829
güzel bir gün,için güzel bir gün,828
neden bu kadar,neden bu kadar geç,828
bu kadar geç,neden bu kadar geç,828
için güzel bir,için güzel bir gün,828
bir şey mi,bir şey mi istiyorsun,826
en iyi şey,en iyi şey bu,826
kadar çok şey,kadar çok şey var,825
çok şey var,kadar çok şey var,825
bu kadar güzel,bu kadar güzel bir,824
ama başka bir,ama başka bir şey,824
kadar güzel bir,bu kadar güzel bir,824
başka bir şey,ama başka bir şey,824
önemli olan bu,önemli olan bu değil,823
böyle bir şey,kim böyle bir şey,820
ya da belki,ya da belki de,819
çok daha iyi,bu çok daha iyi,818
önemli bir şey,daha önemli bir şey,818
tam olarak değil,hayır tam olarak değil,815
böyle bir şey,böyle bir şey için,814
bir şey için,böyle bir şey için,814
ve bir daha,ve bir daha asla,813
bir daha asla,ve bir daha asla,813
böyle bir şey,böyle bir şey nasıl,812
bir şey bilmiyorum,hakkında bir şey bilmiyorum,812
hakkında bir şey,hakkında bir şey bilmiyorum,812
hiç bir şey,ben hiç bir şey,811
bu değil mi,şey bu değil mi,811
şey bu değil,şey bu değil mi,811
çok özel bir,çok özel bir şey,810
özel bir şey,çok özel bir şey,810
benim için çok,benim için çok şey,808
başka bir şey,başka bir şey yoksa,808
görmek ne güzel,tekrar görmek ne güzel,807
bunlar da ne,bütün bunlar da ne,807
bir şey oldu,kötü bir şey oldu,807
kötü bir şey,kötü bir şey oldu,807
o da senin,o da senin gibi,805
nasıl bir şey,olmak nasıl bir şey,804
olmak nasıl bir,olmak nasıl bir şey,804
için bir şey,için bir şey var,799
bir şey var,için bir şey var,799
her şeyi biliyorum,hakkında her şeyi biliyorum,798
hayır sorun değil,hayır hayır sorun değil,798
hakkında her şeyi,hakkında her şeyi biliyorum,798
bir sorun var,ilgili bir sorun var,794
bir tane daha,bir tane daha ister,794
ilgili bir sorun,ilgili bir sorun var,794
pek emin değilim,bundan pek emin değilim,791
bir şey mi,bir şey mi vardı,785
bana bir şey,bana bir şey mi,782
bir şey mi,bana bir şey mi,782
görmek ister misin,şey görmek ister misin,779
böyle bir şey,daha böyle bir şey,778
sen ve ben,sen ve ben birlikte,775
öyle değil mi,var öyle değil mi,775
bir şey var,özel bir şey var,773
bir şey var,ilgili bir şey var,773
özel bir şey,özel bir şey var,773
için iyi bir,için iyi bir şey,773
iyi bir şey,için iyi bir şey,773
ilgili bir şey,ilgili bir şey var,773
de öyle değil,hiç de öyle değil,772
şu anda burada,şu anda burada değil,770
ne kadar iyi,ne kadar iyi bir,765
kadar iyi bir,ne kadar iyi bir,765
öyle bir şey,asla öyle bir şey,764
ben de sana,ben de sana bir,762
bir şey değil,bu bir şey değil,761
o kadar çok,o kadar çok mu,761
ben bir şey,ben bir şey bilmiyorum,759
bir şey bilmiyorum,ben bir şey bilmiyorum,759
sonra ne oldu,peki sonra ne oldu,757
ne yapıyorsun burada,sen ne yapıyorsun burada,755
sen ne yapıyorsun,sen ne yapıyorsun burada,755
de aynı şeyi,sen de aynı şeyi,754
bu kadar zor,neden bu kadar zor,753
neden bu kadar,neden bu kadar zor,753
o kadar da,o kadar da büyük,752
tam olarak ne,tam olarak ne zaman,750
güzel bir şey,bu güzel bir şey,748
bu güzel bir,bu güzel bir şey,748
ne iş yapıyorsun,sen ne iş yapıyorsun,747
hoş değil mi,ne hoş değil mi,747
zor olduğunu biliyorum,kadar zor olduğunu biliyorum,745
her şey tamam,her şey tamam mı,745
şu an burada,şu an burada değil,745
kadar zor olduğunu,kadar zor olduğunu biliyorum,745
hiç bir şey,hakkında hiç bir şey,745
çok uzun bir,çok uzun bir zaman,744
sorun olur mu,için sorun olur mu,743
onu bir daha,onu bir daha asla,742
bir daha asla,onu bir daha asla,742
için teşekkür ederim,bunun için teşekkür ederim,740
bir şey mi,gereken bir şey mi,738
gereken bir şey,gereken bir şey mi,738
bu hiç de,bu hiç de iyi,736
hiç de iyi,bu hiç de iyi,736
sadece tek bir,sadece tek bir şey,735
bir dakika izin,bize bir dakika izin,735
tek bir şey,sadece tek bir şey,735
bu da ne,hey bu da ne,733
bir şey bilmiyorum,hiç bir şey bilmiyorum,730
bir şey olduğunu,bir şey olduğunu biliyorum,730
hiç bir şey,hiç bir şey bilmiyorum,730
daha iyi bir,daha iyi bir iş,728
iyi bir iş,daha iyi bir iş,728
sen de benim,sen de benim için,727
bu gece ne,bu gece ne yapıyorsun,726
bir kaç gün,bir kaç gün içinde,726
bu çok iyi,bu çok iyi olur,722
çok iyi olur,bu çok iyi olur,722
zor olduğunu biliyorum,için zor olduğunu biliyorum,719
gerçekten çok üzgünüm,için gerçekten çok üzgünüm,718
bana yardım et,tanrım bana yardım et,713
bir şey değil,büyük bir şey değil,713
büyük bir şey,büyük bir şey değil,713
daha iyi bir,daha iyi bir yere,711
için çok önemli,için çok önemli bir,711
o değil mi,bu o değil mi,711
çok önemli bir,için çok önemli bir,711
bu değil mi,de bu değil mi,711
bu o değil,bu o değil mi,711
çok sağ ol,için çok sağ ol,710
de o kadar,belki de o kadar,707
belki de o,belki de o kadar,707
artık çok geç,ama artık çok geç,706
ne kadar çok,seni ne kadar çok,705
seni ne kadar,seni ne kadar çok,705
ne var biliyor,ama ne var biliyor,703
önemli bir şey,bu önemli bir şey,703
bu önemli bir,bu önemli bir şey,703
ne işi var,orada ne işi var,700
çok büyük bir,için çok büyük bir,699
bir şey değil,bir şey değil ki,698
son ne zaman,son ne zaman bir,698
belki de daha,belki de daha fazla,698
ne zaman bir,son ne zaman bir,698
bir de bu,bir de bu var,696
bizim için çok,bizim için çok önemli,694
hakkında ne biliyorsun,onun hakkında ne biliyorsun,694
onun hakkında ne,onun hakkında ne biliyorsun,694
için çok önemli,bizim için çok önemli,694
sadece bir tane,sadece bir tane var,691
bir tane var,sadece bir tane var,691
çok özür dilerim,gerçekten çok özür dilerim,690
yok bir şey,yok bir şey yok,688
bir şey yok,yok bir şey yok,688
o kadar emin,ben o kadar emin,683
için daha iyi,için daha iyi olur,681
daha iyi olur,için daha iyi olur,681
çok güzel bir,için çok güzel bir,681
nerede olduğunu söyle,bana nerede olduğunu söyle,679
yeni bir şey,yeni bir şey değil,678
bir şey değil,yeni bir şey değil,678
daha ne kadar,daha ne kadar devam,676
böyle bir şeyi,böyle bir şeyi asla,676
çok fazla şey,çok fazla şey var,676
çok uzun zaman,bu çok uzun zaman,676
harika bir yer,için harika bir yer,674
daha ister misin,tane daha ister misin,674
için harika bir,için harika bir yer,674
bir tane daha,bir tane daha ver,674
her şey çok,her şey çok iyi,670
için her şeyi,onun için her şeyi,670
de başka bir,ne de başka bir,669
bir kaç dakika,bir kaç dakika içinde,666
öyle bir şey,neden öyle bir şey,665
ilgili bir şey,ilgili bir şey mi,664
bir şey mi,ilgili bir şey mi,664
aynı şey değil,bu aynı şey değil,664
senin için de,bu senin için de,660
bu senin için,bu senin için de,660
başka bir şey,başka bir şey için,658
bir şey için,başka bir şey için,658
de bir şeyler,ben de bir şeyler,658
ben de bir,ben de bir şeyler,658
benim için de,benim için de öyle,657
harika bir şey,harika bir şey bu,657
bir şey bu,harika bir şey bu,657
şey de ne,o şey de ne,656
o zaman neden,peki o zaman neden,655
bana bir şey,kimse bana bir şey,655
peki o zaman,peki o zaman neden,655
o kadar zor,o kadar zor değil,653
başka bir şey,bu başka bir şey,653
böyle bir şeyi,böyle bir şeyi kim,653
her şey için,her şey için özür,651
için bu kadar,için bu kadar önemli,650
benim için önemli,benim için önemli değil,650
bu kadar önemli,için bu kadar önemli,650
ben de tam,ben de tam olarak,647
yok değil mi,gerek yok değil mi,646
bir şey olabilir,bir şey olabilir mi,645
senin için iyi,senin için iyi bir,644
hakkında ne biliyorsun,hakkında ne biliyorsun ki,644
için iyi bir,senin için iyi bir,644
başka bir yere,başka bir yere gidelim,644
için her şey,benim için her şey,643
senin için zor,senin için zor olduğunu,640
daha çok şey,hakkında daha çok şey,639
için hiçbir şey,benim için hiçbir şey,639
daha ne kadar,bunu daha ne kadar,638
her şey daha,her şey daha iyi,635
için büyük bir,bizim için büyük bir,635
her şey bir,her şey bir anda,634
da bir şey,ya da bir şey,633
ya da bir,ya da bir şey,633
güzel bir yer,için güzel bir yer,632
için güzel bir,için güzel bir yer,632
hakkında bir şey,bunun hakkında bir şey,631
böyle bir şey,böyle bir şey hiç,631
çok geç değil,için çok geç değil,630
için çok geç,için çok geç değil,630
olan her şey,olan her şey var,629
her şey var,olan her şey var,629
sana bir şey,bu sana bir şey,628
çok şey var,pek çok şey var,628
pek çok şey,pek çok şey var,628
nasıl oldu da,nasıl oldu da bu,626
senin için sorun,senin için sorun olur,626
evet ben de,evet ben de seni,624
ben de seni,evet ben de seni,624
sana teşekkür etmek,için sana teşekkür etmek,623
o da benim,o da benim gibi,622
sen de bunu,ve sen de bunu,620
ve sen de,ve sen de bunu,620
için ne kadar,bunun için ne kadar,619
bir şey mi,sana bir şey mi,617
bir şey mi,bir şey mi söyledi,617
gerçekten çok iyi,gerçekten çok iyi bir,617
sana bir şey,sana bir şey mi,617
çok iyi bir,gerçekten çok iyi bir,617
bu kadar çok,bu kadar çok şey,616
kadar çok şey,bu kadar çok şey,616
bir şey olmaz,ona bir şey olmaz,615
ona bir şey,ona bir şey olmaz,615
çok iyi bir,çok iyi bir adam,613
iyi bir adam,çok iyi bir adam,613
bir şey yok,olan bir şey yok,613
olan bir şey,olan bir şey yok,613
de iyi bir,pek de iyi bir,613
kim olduğunu biliyor,onun kim olduğunu biliyor,612
onun kim olduğunu,onun kim olduğunu biliyor,612
daha önce hiç,bu daha önce hiç,612
ve ben de,ve ben de onu,611
ben de onu,ve ben de onu,611
bir şey daha,bir şey daha vardı,610
bu da nedir,bu da nedir böyle,607
ne demek olduğunu,ne demek olduğunu biliyorsun,606
bir şey yok,bir şey yok ama,605
daha ne kadar,bu daha ne kadar,605
sana bir şey,sana bir şey söyledi,605
bir şey söyledi,sana bir şey söyledi,605
bir kaç gün,bir kaç gün sonra,604
ben de seni,ben de seni çok,604
o kadar çok,seni o kadar çok,604
bir şey mi,bir şey mi bu,603
bu hiç iyi,bu hiç iyi bir,603
bir şey değil,olan bir şey değil,602
olan bir şey,olan bir şey değil,602
çok uzun bir,bu çok uzun bir,602
kadar da kötü,kadar da kötü bir,599
bu çok zor,bu çok zor bir,599
ben de aynı,ben de aynı şekilde,599
çok zor bir,bu çok zor bir,599
senin için iyi,bu senin için iyi,596
bu senin için,bu senin için iyi,596
çok teşekkür ederim,çok teşekkür ederim efendim,595
teşekkür ederim efendim,çok teşekkür ederim efendim,595
o kadar kötü,o kadar kötü bir,592
bu kadar güzel,hiç bu kadar güzel,592
hiç bu kadar,hiç bu kadar güzel,592
buna bir son,buna bir son ver,592
hakkında her şeyi,senin hakkında her şeyi,592
bir yer var,gereken bir yer var,590
bir yerde olmalı,burada bir yerde olmalı,590
hakkında hiçbir şey,onun hakkında hiçbir şey,590
ne biliyor musun,şey ne biliyor musun,589
çok özel bir,bu çok özel bir,588
ama yine de,evet ama yine de,588
ne kadar kötü,ne kadar kötü olduğunu,587
öyle değil mi,öyle değil mi bay,587
için özür dilerim,gece için özür dilerim,587
değil mi bay,öyle değil mi bay,587
ne dedim ben,ne dedim ben sana,585
sen iyi misin,hey sen iyi misin,584
bu da kim,bu da kim böyle,583
bir şey yapmak,böyle bir şey yapmak,583
bunlar da ne,tüm bunlar da ne,583
böyle bir şey,böyle bir şey yapmak,583
bir şey yok,yeni bir şey yok,582
yeni bir şey,yeni bir şey yok,582
bir şey söyle,bana bir şey söyle,581
bana bir şey,bana bir şey söyle,581
senin için zor,senin için zor olmalı,580
kötü bir şey,kadar kötü bir şey,580
ne kadar güzel,görmek ne kadar güzel,579
bir şeyler yapmak,bir şeyler yapmak istiyorum,579
harika bir yer,burası harika bir yer,579
senin için bir,senin için bir şeyler,578
ve bir daha,ve bir daha geri,578
için bir şeyler,senin için bir şeyler,578
yok tamam mı,gerek yok tamam mı,577
ne demek oluyor,bunlar ne demek oluyor,576
bir daha asla,bunu bir daha asla,574
de bir tane,de bir tane var,574
da kötü değil,çok da kötü değil,574
benim için mi,bu benim için mi,574
bu benim için,bu benim için mi,574
benim için de,bu benim için de,574
bu benim için,bu benim için de,574
bir kaç saat,bir kaç saat önce,574
bunu bir daha,bunu bir daha asla,574
bir tane var,de bir tane var,574
bu da senin,bu da senin için,572
buna gerek yok,hayır buna gerek yok,572
bir şey değil,zor bir şey değil,570
yardım etmek için,ona yardım etmek için,569
bu sadece bir,ama bu sadece bir,568
çok büyük bir,çok büyük bir şey,567
bir sorun mu,ilgili bir sorun mu,567
ilgili bir sorun,ilgili bir sorun mu,567
büyük bir şey,çok büyük bir şey,567
bu iyi değil,bu iyi değil mi,565
bir şey de,bir şey de yok,565
iyi değil mi,bu iyi değil mi,565
için çok önemli,senin için çok önemli,564
senin için çok,senin için çok önemli,564
yardım etmek için,size yardım etmek için,564
için özel bir,senin için özel bir,562
önemli bir şey,önemli bir şey mi,561
o kadar da,aslında o kadar da,561
bir şey mi,önemli bir şey mi,561
harika değil mi,ne harika değil mi,561
çok özür dilerim,çok çok özür dilerim,561
bekle bir dakika,hey bekle bir dakika,560
ben hiçbir şey,ben hiçbir şey bilmiyorum,560
hiçbir şey bilmiyorum,ben hiçbir şey bilmiyorum,560
seni seviyorum baba,de seni seviyorum baba,559
de seni seviyorum,de seni seviyorum baba,559
ne demek olduğunu,ne demek olduğunu bilmiyorum,559
da ne böyle,burası da ne böyle,558
ve ben bir,sen ve ben bir,557
bir daha hiç,onu bir daha hiç,557
sen ve ben,sen ve ben bir,557
onu bir daha,onu bir daha hiç,557
kim olduğunu biliyorum,senin kim olduğunu biliyorum,556
iyi bir şey,çok iyi bir şey,555
çok iyi bir,çok iyi bir şey,555
bir sorun var,küçük bir sorun var,554
o kadar iyi,o kadar iyi değil,554
öyle bir şey,hiç öyle bir şey,553
onun gibi bir,evet onun gibi bir,553
tam olarak ne,tam olarak ne kadar,552
başka kimse yok,başka kimse yok mu,551
kimse yok mu,başka kimse yok mu,551
öyle bir şey,evet öyle bir şey,550
sana bir şey,gel sana bir şey,548
kadar büyük bir,o kadar büyük bir,548
olduğunu biliyorsun değil,ne olduğunu biliyorsun değil,547
ne olduğunu biliyorsun,ne olduğunu biliyorsun değil,547
sana bir şey,ben sana bir şey,547
de ne demek,de ne demek oluyor,546
ne demek oluyor,de ne demek oluyor,546
hakkında bir şey,onun hakkında bir şey,544
böyle bir şey,ama böyle bir şey,544
o kadar iyi,o kadar iyi olur,544
başka bir şey,sana başka bir şey,543
bir şey yok,bir şey yok bir,543
bu çok kötü,bu çok kötü oldu,543
olan bir şey,yanlış olan bir şey,542
için çok zor,için çok zor olmalı,541
benim için ne,bunun benim için ne,540
ben teşekkür ederim,hayır ben teşekkür ederim,540
her şey için,her şey için sağ,540
yok bir şey,hayır yok bir şey,539
bir şey yapmak,bir şey yapmak zorunda,539
ve ben de,ve ben de seni,539
ben de seni,ve ben de seni,539
dur bir dakika,hey dur bir dakika,538
ama yine de,ama yine de çok,538
bir kaç saat,bir kaç saat içinde,537
bu kadar çok,hiç bu kadar çok,536
sorun şu ki,ama sorun şu ki,536
hiç bu kadar,hiç bu kadar çok,536
senin gibi bir,senin gibi bir adam,535
iyi bir insan,daha iyi bir insan,534
için her şey,için her şey hazır,534
daha iyi bir,daha iyi bir insan,534
her şey hazır,için her şey hazır,534
bir daha da,ve bir daha da,533
olduğunu bilmiyorum ama,kim olduğunu bilmiyorum ama,533
kim olduğunu bilmiyorum,kim olduğunu bilmiyorum ama,533
ve bir daha,ve bir daha da,533
nasıl bir şey,bunun nasıl bir şey,532
burada neler oluyor,burada neler oluyor böyle,531
neler oluyor böyle,burada neler oluyor böyle,531
sen de biliyorsun,sen de biliyorsun ki,530
şey de ne,lanet şey de ne,530
onun için bir,onun için bir şey,529
için bir şey,onun için bir şey,529
benim için de,benim için de bir,529
için de bir,benim için de bir,529
küçük bir kız,küçük bir kız gibi,528
özel bir şey,özel bir şey yok,528
bir şey yok,özel bir şey yok,528
ne olduğunu bilmiyorum,bunun ne olduğunu bilmiyorum,527
onun için çok,bu onun için çok,527
bunun ne olduğunu,bunun ne olduğunu bilmiyorum,527
sen de bunu,sen de bunu biliyorsun,524
başka hiçbir şey,başka hiçbir şey yok,523
öyle bir şey,öyle bir şey işte,523
hiç de iyi,hiç de iyi bir,523
hiçbir şey yok,başka hiçbir şey yok,523
de iyi bir,hiç de iyi bir,523
senin için de,senin için de bir,522
için de bir,senin için de bir,522
neden daha önce,bunu neden daha önce,522
daha iyi bir,senden daha iyi bir,522
senden daha iyi,senden daha iyi bir,522
bu kadar zor,bu kadar zor mu,520
bir yer değil,göre bir yer değil,519
ne gerek var,ne gerek var ki,518
için hiçbir şey,senin için hiçbir şey,517
bu da ne,tanrım bu da ne,517
seni tekrar görmek,seni tekrar görmek ne,516
çok güzel bir,gerçekten çok güzel bir,516
senin için her,senin için her şey,516
gerçekten çok güzel,gerçekten çok güzel bir,516
için her şey,senin için her şey,516
öyle değil mi,bu öyle değil mi,516
değil değil mi,doğru değil değil mi,513
ben de sana,ben de sana aynı,513
öyle değil mi,güzel öyle değil mi,513
bir yer yok,öyle bir yer yok,512
bir şey yapmak,bir şey yapmak istiyorum,510
bu kadar iyi,nasıl bu kadar iyi,507
nasıl bu kadar,nasıl bu kadar iyi,507
çok zor bir,çok zor bir şey,505
çok önemli bir,gereken çok önemli bir,505
o kadar çok,o kadar çok seviyorum,504
ilgili bir şeyler,ile ilgili bir şeyler,503
ile ilgili bir,ile ilgili bir şeyler,503
öyle değil mi,yok öyle değil mi,503
yanlış bir şey,sen yanlış bir şey,503
bir şeyler var,olan bir şeyler var,502
özür dilerim ama,özür dilerim ama bu,502
öyle değil mi,evet öyle değil mi,501
daha iyi bir,benden daha iyi bir,501
benden daha iyi,benden daha iyi bir,501
bu harika bir,bence bu harika bir,500
bir tane daha,bir tane daha geliyor,499
tek şey bu,gereken tek şey bu,498
gereken tek şey,gereken tek şey bu,498
başka bir şey,başka bir şey söyledi,496
bir şey söyledi,başka bir şey söyledi,496
yok bir şey,şey yok bir şey,495
bunu nereden biliyorsun,sen bunu nereden biliyorsun,494
bu benim için,bu benim için büyük,492
benim için büyük,bu benim için büyük,492
bunun ne olduğunu,bunun ne olduğunu biliyorum,491
de başka bir,de başka bir şey,491
başka bir şey,de başka bir şey,491
ne olduğunu biliyorum,bunun ne olduğunu biliyorum,491
sen de biliyorsun,olduğunu sen de biliyorsun,491
bu benim için,bu benim için önemli,490
benim için önemli,bu benim için önemli,490
bir de şu,bir de şu var,490
sen ve ben,sen ve ben mi,488
çok iyi biliyorum,olduğunu çok iyi biliyorum,488
ne demek istiyorsun,ne demek istiyorsun sen,487
çok daha iyi,benden çok daha iyi,486
bir daha asla,bir daha asla geri,486
için çok iyi,senin için çok iyi,485
senin için çok,senin için çok iyi,485
ben de tam,ben de tam seni,484
bir şey mi,ona bir şey mi,484
daha önce de,daha önce de oldu,484
ona bir şey,ona bir şey mi,484
ve ben bu,sen ve ben bu,484
sen ve ben,sen ve ben bu,484
tam olarak ne,burada tam olarak ne,483
bir şey de,başka bir şey de,481
başka bir şey,başka bir şey de,481
ben de sana,ve ben de sana,481
ve ben de,ve ben de sana,481
o kadar iyi,o kadar iyi bir,480
daha çok şey,daha çok şey var,480
çok şey var,daha çok şey var,480
kadar iyi bir,o kadar iyi bir,480
bu bir sorun,bu bir sorun mu,479
bir daha asla,beni bir daha asla,479
bir sorun mu,bu bir sorun mu,479
bu iş için,bu iş için çok,479
bir sorun yok,bir sorun yok değil,479
beni bir daha,beni bir daha asla,479
ne kadar zaman,ne kadar zaman oldu,478
gerçek şu ki,gerçek şu ki ben,478
için küçük bir,senin için küçük bir,478
ben de sana,ben de sana bunu,478
özel bir şey,özel bir şey değil,477
bir şey değil,özel bir şey değil,477
güzel bir şey,kadar güzel bir şey,476
sorun da bu,sorun da bu ya,476
o kadar uzun,o kadar uzun zaman,476
kimse var mı,burada kimse var mı,476
kadar güzel bir,kadar güzel bir şey,476
için her şeyi,etmek için her şeyi,475
çok özel bir,için çok özel bir,475
biraz daha zaman,bana biraz daha zaman,473
bir şey olduğunu,kötü bir şey olduğunu,473
ama yine de,biliyorum ama yine de,473
ben de sana,ben de sana yardım,473
tam olarak ne,tam olarak ne yapıyorsun,473
kötü bir şey,kötü bir şey olduğunu,473
fazla bir şey,pek fazla bir şey,472
iyi bir çocuk,çok iyi bir çocuk,470
bir şey mi,böyle bir şey mi,470
böyle bir şey,böyle bir şey mi,470
bana bir şey,eğer bana bir şey,470
bir şey var,bir şey var ki,470
çok iyi bir,çok iyi bir çocuk,470
kadar önemli olduğunu,kadar önemli olduğunu biliyorum,469
her şey çok,her şey çok daha,469
çok hoş bir,bu çok hoş bir,468
var değil mi,şey var değil mi,468
bu çok hoş,bu çok hoş bir,468
ne kadar hoş,ne kadar hoş bir,468
sizin için bir,sizin için bir şey,467
ne o zaman,sorun ne o zaman,467
için bir şey,sizin için bir şey,467
teşekkür etmek istiyorum,size teşekkür etmek istiyorum,466
için iyi bir,benim için iyi bir,466
bu iyi bir,ama bu iyi bir,466
çok iyi bir,ama çok iyi bir,466
bir şey yapmak,bir şey yapmak için,466
yardım etmek için,bana yardım etmek için,465
fazla bir şey,çok fazla bir şey,465
bana yardım etmek,bana yardım etmek için,465
bir şey mi,bir şey mi biliyorsun,464
git git git,git git git git,464
çok daha iyi,çok daha iyi olur,464
daha iyi olur,çok daha iyi olur,464
sorun var mı,başka sorun var mı,462
daha önce de,bu daha önce de,461
hayır tabii ki,hayır tabii ki hayır,460
güzel bir gün,bugün güzel bir gün,460
tabii ki hayır,hayır tabii ki hayır,460
böyle bir şey,böyle bir şey asla,458
bir şey değil,çok bir şey değil,458
tam olarak ne,bu tam olarak ne,456
ne güzel bir,bu ne güzel bir,456
ben de tam,ben de tam bunu,455
sana bir şey,sana bir şey daha,454
daha ne kadar,daha ne kadar burada,454
bir şey daha,sana bir şey daha,454
yardım etmek istiyorum,sadece yardım etmek istiyorum,452
yok tamam mı,şey yok tamam mı,452
böyle bir şeyi,böyle bir şeyi hiç,451
sen de bana,sen de bana yardım,451
sana bir şey,bak sana bir şey,451
bunu sen de,ve bunu sen de,450
değil değil mi,kötü değil değil mi,450
şey de ne,şey de ne böyle,450
güzel bir şey,daha güzel bir şey,449
bir tane daha,bir tane daha lütfen,449
pek bir şey,hakkında pek bir şey,449
daha güzel bir,daha güzel bir şey,449
için büyük bir,için büyük bir gün,449
zor olduğunu biliyorum,bunun zor olduğunu biliyorum,449
ona bir şey,eğer ona bir şey,449
için yeni bir,senin için yeni bir,449
hiç bu kadar,seni hiç bu kadar,449
için çok fazla,benim için çok fazla,448
benim için çok,benim için çok fazla,448
bir şey değil,hoş bir şey değil,446
o zaman bir,o zaman bir şey,446
yardım etmek istiyorum,size yardım etmek istiyorum,446
bir kaç dakika,bir kaç dakika sonra,445
ben de o,ben de o yüzden,445
bu iyi bir,evet bu iyi bir,445
hem de çok,hem de çok kötü,444
bir daha asla,bir daha asla böyle,444
kadar da değil,bu kadar da değil,444
bana yardım et,ve bana yardım et,443
